,Survived,Pclass,Age,Relatives,Male,Embarked_C,Embarked_Q,Embarked_S
0,0.0,1.0,0.2711736617240512,0.1,1.0,0.0,0.0,1.0
1,1.0,0.0,0.4722292033174164,0.1,0.0,1.0,0.0,0.0
2,1.0,1.0,0.32143754712239253,0.0,0.0,0.0,0.0,1.0
3,1.0,0.0,0.4345312892686604,0.1,0.0,0.0,0.0,1.0
4,0.0,1.0,0.4345312892686604,0.0,1.0,0.0,0.0,1.0
5,0.0,1.0,0.5953757225433526,0.0,1.0,0.0,1.0,0.0
6,0.0,0.0,0.6732847449107816,0.0,1.0,0.0,0.0,1.0
7,0.0,1.0,0.01985423473234481,0.4,1.0,0.0,0.0,1.0
8,1.0,1.0,0.33400351847197784,0.2,0.0,0.0,0.0,1.0
9,1.0,0.5,0.17064589092736868,0.1,0.0,1.0,0.0,0.0
10,1.0,1.0,0.04498617743151546,0.2,0.0,0.0,0.0,1.0
11,1.0,0.0,0.723548630309123,0.0,0.0,0.0,0.0,1.0
12,0.0,1.0,0.24604171902488062,0.0,1.0,0.0,0.0,1.0
13,0.0,1.0,0.4847951746670017,0.6000000000000001,1.0,0.0,0.0,1.0
14,0.0,1.0,0.17064589092736868,0.0,0.0,0.0,0.0,1.0
15,1.0,0.5,0.685850716260367,0.0,0.0,0.0,0.0,1.0
16,0.0,1.0,0.01985423473234481,0.5,1.0,0.0,1.0,0.0
17,1.0,0.5,0.4672028147775823,0.0,1.0,0.0,0.0,1.0
18,0.0,1.0,0.38426740387031916,0.1,0.0,0.0,0.0,1.0
19,1.0,1.0,0.14802714249811513,0.0,0.0,1.0,0.0,0.0
20,0.0,0.5,0.4345312892686604,0.0,1.0,0.0,0.0,1.0
21,1.0,0.5,0.4219653179190751,0.0,1.0,0.0,0.0,1.0
22,1.0,1.0,0.18321186227695402,0.0,0.0,0.0,1.0,0.0
23,1.0,0.0,0.34656948982156316,0.0,1.0,0.0,0.0,1.0
24,0.0,1.0,0.09525006282985675,0.4,0.0,0.0,0.0,1.0
25,1.0,1.0,0.4722292033174164,0.6000000000000001,0.0,0.0,0.0,1.0
26,0.0,1.0,0.40688615229957276,0.0,1.0,1.0,0.0,0.0
27,0.0,0.0,0.2334757476752953,0.5,1.0,0.0,0.0,1.0
28,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
29,0.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
30,0.0,0.0,0.49736114601658704,0.0,1.0,1.0,0.0,0.0
31,1.0,0.0,0.4093993465694898,0.1,0.0,1.0,0.0,0.0
32,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
33,0.0,0.5,0.8240764011058055,0.0,1.0,0.0,0.0,1.0
34,0.0,0.0,0.34656948982156316,0.1,1.0,1.0,0.0,0.0
35,0.0,0.0,0.5224930887157577,0.1,1.0,0.0,0.0,1.0
36,1.0,1.0,0.2395576778084946,0.0,1.0,1.0,0.0,0.0
37,0.0,1.0,0.2586076903744659,0.0,1.0,0.0,0.0,1.0
38,0.0,1.0,0.22090977632571,0.2,0.0,0.0,0.0,1.0
39,1.0,1.0,0.17064589092736868,0.1,0.0,1.0,0.0,0.0
40,0.0,1.0,0.49736114601658704,0.1,0.0,0.0,0.0,1.0
41,0.0,0.5,0.33400351847197784,0.1,0.0,0.0,0.0,1.0
42,0.0,1.0,0.3553656697662729,0.0,1.0,1.0,0.0,0.0
43,1.0,0.5,0.032420206081930136,0.30000000000000004,0.0,1.0,0.0,0.0
44,1.0,1.0,0.2334757476752953,0.0,0.0,0.0,1.0,0.0
45,0.0,1.0,0.4772555918572506,0.0,1.0,0.0,0.0,1.0
46,0.0,1.0,0.5325458657954261,0.1,1.0,0.0,1.0,0.0
47,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
48,0.0,1.0,0.23598894194521236,0.2,1.0,1.0,0.0,0.0
49,0.0,1.0,0.22090977632571,0.1,0.0,0.0,0.0,1.0
50,0.0,1.0,0.08268409148027142,0.5,1.0,0.0,0.0,1.0
51,0.0,1.0,0.2586076903744659,0.0,1.0,0.0,0.0,1.0
52,1.0,0.0,0.610454888162855,0.1,0.0,1.0,0.0,0.0
53,1.0,0.5,0.35913546117114853,0.1,0.0,0.0,0.0,1.0
54,0.0,0.0,0.8115104297562202,0.1,1.0,1.0,0.0,0.0
55,1.0,0.0,0.5853229454636845,0.0,1.0,0.0,0.0,1.0
56,1.0,0.5,0.2586076903744659,0.0,0.0,0.0,0.0,1.0
57,0.0,1.0,0.35285247549635584,0.0,1.0,1.0,0.0,0.0
58,1.0,0.5,0.05755214878110078,0.30000000000000004,0.0,0.0,0.0,1.0
